"jdn"	"julian_year"	"julian_month"	"julian_day"	"month_number"	"month_name"	"month_days"	"new_moon"	"diff"
1561500	-437	2	26	12	"Addaru"	30	1561498.1542883608	1.8457116391509771
1561530	-437	3	28	1	"Nisanu"	30	1561527.5595968382	2.4404031618032604
1561559	-437	4	26	2	"Aiaru"	29	1561556.9913782347	2.0086217653006315
1561588	-437	5	25	3	"Simanu"	29	1561586.4849065628	1.5150934371631593
1561618	-437	6	24	4	"Duzu"	30	1561616.0595289688	1.9404710312373936
1561648	-437	7	24	5	"Abu"	30	1561645.7072650508	2.292734949151054
1561677	-437	8	22	6	"Ululu"	29	1561675.3963343818	1.6036656182259321
1561707	-437	9	21	7	"Tashritu"	30	1561705.0882071431	1.9117928568739444
1561736	-437	10	20	8	"Arahsamnu"	29	1561734.7532867985	1.2467132015153766
1561766	-437	11	19	9	"Kislimu"	30	1561764.3724316955	1.6275683045387268
1561795	-437	12	18	10	"Tebetu"	29	1561793.9297207557	1.0702792443335056
1561825	-436	1	17	11	"Shabatu"	30	1561823.4119612854	1.5880387146025896
1561854	-436	2	15	12	"Addaru"	29	1561852.8185373987	1.1814626012928784
1561884	-436	3	16	13	"Addaru₂"	30	1561882.169380349	1.8306196508929133
1561913	-436	4	14	1	"Nisanu"	29	1561911.5019621258	1.4980378742329776
1561943	-436	5	14	2	"Aiaru"	30	1561940.8603633766	2.1396366234403104
1561972	-436	6	12	3	"Simanu"	29	1561970.283234288	1.7167657120153308
1562002	-436	7	12	4	"Duzu"	30	1561999.795215466	2.2047845339402556
1562032	-436	8	11	5	"Abu"	30	1562029.403708778	2.5962912219110876
1562061	-436	9	9	6	"Ululu"	29	1562059.0991953164	1.9008046835660934
1562091	-436	10	9	7	"Tashritu"	30	1562088.8544147192	2.145585280843079
1562121	-436	11	8	8	"Arahsamnu"	30	1562118.6222171981	2.3777828018646687
1562151	-436	12	8	9	"Kislimu"	30	1562148.342051634	2.6579483659006655
1562180	-435	1	6	10	"Tebetu"	29	1562177.962265418	2.0377345820888877
1562210	-435	2	5	11	"Shabatu"	30	1562207.4633699707	2.536630029324442
1562239	-435	3	6	12	"Addaru"	29	1562236.8609220625	2.1390779374632984
1562268	-435	4	4	1	"Nisanu"	29	1562266.1908062745	1.8091937254648656
1562297	-435	5	3	2	"Aiaru"	29	1562295.493684831	1.5063151689246297
1562327	-435	6	2	3	"Simanu"	30	1562324.8073958957	2.192604104289785
1562356	-435	7	1	4	"Duzu"	29	1562354.1666438512	1.833356148796156
1562386	-435	7	31	5	"Abu"	30	1562383.6053203093	2.3946796907112002
1562415	-435	8	29	6	"Ululu"	29	1562413.15485489	1.845145110040903
1562445	-435	9	28	7	"Tashritu"	30	1562442.8322475632	2.1677524368278682
1562475	-435	10	28	8	"Arahsamnu"	30	1562472.6188206752	2.3811793248169124
1562505	-435	11	27	9	"Kislimu"	30	1562502.44846172	2.5515382799785584
1562535	-435	12	27	10	"Tebetu"	30	1562532.23128339	2.7687166100367904
1562564	-434	1	25	11	"Shabatu"	29	1562561.9013318447	2.098668155260384
1562594	-434	2	24	12	"Addaru"	30	1562591.441033295	2.558966705109924
1562623	-434	3	25	13	"Addaru₂"	29	1562620.868429014	2.131570986006409
1562652	-434	4	23	1	"Nisanu"	29	1562650.2146599754	1.7853400246240199
1562681	-434	5	22	2	"Aiaru"	29	1562679.5126127088	1.4873872911557555
1562711	-434	6	21	3	"Simanu"	30	1562708.7971248832	2.202875116840005
1562740	-434	7	20	4	"Duzu"	29	1562738.108869621	1.891130378935486
1562770	-434	8	19	5	"Abu"	30	1562767.4945968965	2.50540310353972
1562799	-434	9	17	6	"Ululu"	29	1562796.998659549	2.0013404509518296
1562829	-434	10	17	7	"Tashritu"	30	1562826.6439796684	2.356020331615582
1562859	-434	11	16	8	"Arahsamnu"	30	1562856.4105468004	2.5894531996455044
1562888	-434	12	15	9	"Kislimu"	29	1562886.2335081627	1.7664918373338878
1562918	-433	1	14	10	"Tebetu"	30	1562916.0324971206	1.9675028794445097
1562948	-433	2	13	11	"Shabatu"	30	1562945.7467316405	2.2532683594617993
1562977	-433	3	14	12	"Addaru"	29	1562975.3469233583	1.653076641727239
1563007	-433	4	13	1	"Nisanu"	30	1563004.829282405	2.1707175949122757
1563036	-433	5	12	2	"Aiaru"	29	1563034.2089236008	1.7910763991530985
1563065	-433	6	10	3	"Simanu"	29	1563063.5169180078	1.4830819922499359
1563095	-433	7	10	4	"Duzu"	30	1563092.7970188553	2.202981144655496
1563124	-433	8	8	5	"Abu"	29	1563122.0996135427	1.9003864573314786
1563154	-433	9	7	6	"Ululu"	30	1563151.472764747	2.527235253015533
1563183	-433	10	6	7	"Tashritu"	29	1563180.9509779564	2.0490220435895026
1563213	-433	11	5	8	"Arahsamnu"	30	1563210.5450676072	2.4549323928076774
1563243	-433	12	5	9	"Kislimu"	30	1563240.2396440725	2.760355927515775
1563272	-432	1	3	10	"Tebetu"	29	1563269.9996143891	2.0003856108523905
1563302	-432	2	2	11	"Shabatu"	30	1563299.777559474	2.2224405258893967
1563332	-432	3	3	12	"Addaru"	30	1563329.5186731499	2.481326850131154
1563361	-432	4	1	1	"Nisanu"	29	1563359.1719269599	1.8280730401165783
1563391	-432	5	1	2	"Aiaru"	30	1563388.7086256885	2.291374311549589
1563420	-432	5	30	3	"Simanu"	29	1563418.1340067943	1.8659932056907564
1563449	-432	6	28	4	"Duzu"	29	1563447.4825555289	1.5174444711301476
1563479	-432	7	28	5	"Abu"	30	1563476.8027983375	2.1972016624640673
1563508	-432	8	26	6	"Ululu"	29	1563506.1411300392	1.858869960764423
1563538	-432	9	25	7	"Tashritu"	30	1563535.5302752396	2.469724760390818
1563567	-432	10	24	8	"Arahsamnu"	29	1563564.9861285042	2.0138714958447963
1563597	-432	11	23	9	"Kislimu"	30	1563594.5140588526	2.4859411474317312
1563626	-432	12	22	10	"Tebetu"	29	1563624.1168710294	1.8831289706286043
1563656	-431	1	21	11	"Shabatu"	30	1563653.7914634794	2.208536520600319
1563686	-431	2	20	12	"Addaru"	30	1563683.5144972033	2.485502796713263
1563715	-431	3	21	13	"Addaru₂"	29	1563713.237261031	1.762738968944177
1563745	-431	4	20	1	"Nisanu"	30	1563742.9049149198	2.0950850802473724
1563774	-431	5	19	2	"Aiaru"	29	1563772.4849180833	1.5150819167029113
1563803	-431	6	17	3	"Simanu"	29	1563801.9784016837	1.0215983162634075
1563833	-431	7	17	4	"Duzu"	30	1563831.4104658756	1.5895341243594885
1563862	-431	8	15	5	"Abu"	29	1563860.8129996443	1.1870003556832671
1563892	-431	9	14	6	"Ululu"	30	1563890.211861899	1.7881381011102349
1563922	-431	10	14	7	"Tashritu"	30	1563919.6234188622	2.3765811377670616
1563951	-431	11	12	8	"Arahsamnu"	29	1563949.059489666	1.940510333981365
1563981	-431	12	12	9	"Kislimu"	30	1563978.5337203196	2.4662796803750098
1564010	-430	1	10	10	"Tebetu"	29	1564008.0606847988	1.9393152012489736
1564040	-430	2	9	11	"Shabatu"	30	1564037.6459235968	2.354076403193176
1564069	-430	3	10	12	"Addaru"	29	1564067.2767144612	1.7232855388429016
1564099	-430	4	9	1	"Nisanu"	30	1564096.9257921872	2.0742078127805144
1564129	-430	5	9	2	"Aiaru"	30	1564126.5656743818	2.4343256182037294
1564158	-430	6	7	3	"Simanu"	29	1564156.1790457952	1.820954204769805
1564187	-430	7	6	4	"Duzu"	29	1564185.758165324	1.2418346758931875
1564217	-430	8	5	5	"Abu"	30	1564215.29933425	1.7006657500751317
1564246	-430	9	3	6	"Ululu"	29	1564244.8010050694	1.1989949306007475
1564276	-430	10	3	7	"Tashritu"	30	1564274.2673764701	1.7326235298532993
1564306	-430	11	2	8	"Arahsamnu"	30	1564303.7114865712	2.2885134287644178
1564335	-430	12	1	9	"Kislimu"	29	1564333.1516648855	1.8483351145405322
1564365	-430	12	31	10	"Tebetu"	30	1564362.60322911	2.396770890103653
1564394	-429	1	29	11	"Shabatu"	29	1564392.0731564746	1.9268435253761709
1564423	-429	2	27	12	"Addaru"	29	1564421.5627646202	1.4372353798244148
1564453	-429	3	29	1	"Nisanu"	30	1564451.0754684443	1.9245315557345748
1564482	-429	4	27	2	"Aiaru"	29	1564480.6208050135	1.3791949865408242
1564512	-429	5	27	3	"Simanu"	30	1564510.2089388112	1.7910611887928098
1564542	-429	6	26	4	"Duzu"	30	1564539.8389726467	2.161027353256941
1564571	-429	7	25	5	"Abu"	29	1564569.4908892517	1.5091107483021915
1564601	-429	8	24	6	"Ululu"	30	1564599.1309526898	1.8690473102033138
1564630	-429	9	22	7	"Tashritu"	29	1564628.7299497314	1.2700502686202526
1564660	-429	10	22	8	"Arahsamnu"	30	1564658.2786550072	1.7213449927512556
1564689	-429	11	20	9	"Kislimu"	29	1564687.785575328	1.2144246720708907
1564719	-429	12	20	10	"Tebetu"	30	1564717.2611858272	1.7388141728006303
1564748	-428	1	18	11	"Shabatu"	29	1564746.7071665095	1.292833490530029
1564778	-428	2	17	12	"Addaru"	30	1564776.1223318258	1.8776681742165238
1564807	-428	3	17	13	"Addaru₂"	29	1564805.5171847732	1.4828152267728
1564837	-428	4	16	1	"Nisanu"	30	1564834.9202727566	2.0797272433992475
1564866	-428	5	15	2	"Aiaru"	29	1564864.3700509532	1.6299490467645228
1564896	-428	6	14	3	"Simanu"	30	1564893.8979789298	2.1020210701972246
1564925	-428	7	13	4	"Duzu"	29	1564923.5122017202	1.4877982798498124
1564955	-428	8	12	5	"Abu"	30	1564953.1918100975	1.8081899024546146
1564985	-428	9	11	6	"Ululu"	30	1564982.897538596	2.102461403934285
1565014	-428	10	10	7	"Tashritu"	29	1565012.5909613762	1.4090386237949133
1565044	-428	11	9	8	"Arahsamnu"	30	1565042.2450394654	1.7549605346284807
1565073	-428	12	8	9	"Kislimu"	29	1565071.8405814855	1.1594185144640505
1565103	-427	1	7	10	"Tebetu"	30	1565101.3614199832	1.6385800167918205
1565132	-427	2	5	11	"Shabatu"	29	1565130.8000487	1.199951299931854
1565162	-427	3	7	12	"Addaru"	30	1565160.1675756609	1.832424339139834
1565191	-427	4	5	1	"Nisanu"	29	1565189.4955202607	1.5044797393493354
1565221	-427	5	5	2	"Aiaru"	30	1565218.827662632	2.1723373678978533
1565250	-427	6	3	3	"Simanu"	29	1565248.2080259065	1.7919740935321897
1565280	-427	7	3	4	"Duzu"	30	1565277.670291907	2.329708093078807
1565310	-427	8	2	5	"Abu"	30	1565307.231562708	2.7684372919611633
1565340	-427	9	1	6	"Ululu"	30	1565336.890864063	3.109135936945677
1565369	-427	9	30	7	"Tashritu"	29	1565366.6290458885	2.370954111451283
1565399	-427	10	30	8	"Arahsamnu"	30	1565396.4066514566	2.5933485433924943
1565429	-427	11	29	9	"Kislimu"	30	1565426.1650673365	2.8349326634779572
1565458	-427	12	28	10	"Tebetu"	29	1565455.842624887	2.157375113107264
1565487	-426	1	26	11	"Shabatu"	29	1565485.4016261678	1.598373832181096
1565517	-426	2	25	12	"Addaru"	30	1565514.8425194076	2.1574805923737586
1565546	-426	3	26	1	"Nisanu"	29	1565544.195049008	1.8049509921111166
1565575	-426	4	24	2	"Aiaru"	29	1565573.5005847772	1.4994152227882296
1565605	-426	5	24	3	"Simanu"	30	1565602.7999729612	2.200027038808912
1565634	-426	6	22	4	"Duzu"	29	1565632.1299454148	1.8700545851606876
1565664	-426	7	22	5	"Abu"	30	1565661.5248503112	2.4751496887765825
1565693	-426	8	20	6	"Ululu"	29	1565691.0179731157	1.9820268843322992
1565723	-426	9	19	7	"Ululu₂"	30	1565720.6353607224	2.3646392775699496
1565753	-426	10	19	8	"Tashritu"	30	1565750.3779842996	2.6220157004427165
1565782	-426	11	17	9	"Arahsamnu"	29	1565780.201502026	1.7984979739412665
1565812	-426	12	17	10	"Kislimu"	30	1565810.0207861508	1.9792138491757214
1565842	-425	1	16	11	"Tebetu"	30	1565839.7516922452	2.248307754751295
1565871	-425	2	14	12	"Shabatu"	29	1565869.3527339753	1.647266024723649
1565901	-425	3	16	13	"Addaru"	30	1565898.8284124166	2.1715875833760947
1565930	-425	4	14	1	"Nisanu"	29	1565928.2070780597	1.792921940330416
1565959	-425	5	13	2	"Aiaru"	29	1565957.5224787616	1.4775212383829057
1565989	-425	6	12	3	"Simanu"	30	1565986.8086365554	2.1913634445518255
1566018	-425	7	11	4	"Duzu"	29	1566016.1028473228	1.8971526771783829
1566048	-425	8	10	5	"Abu"	30	1566045.4486879185	2.551312081515789
1566077	-425	9	8	6	"Ululu"	29	1566074.8926359895	2.1073640105314553
1566107	-425	10	8	7	"Tashritu"	30	1566104.4702332919	2.5297667081467807
1566137	-425	11	7	8	"Arahsamnu"	30	1566134.1838065553	2.8161934446543455
1566166	-425	12	6	9	"Kislimu"	29	1566163.9880751844	2.0119248155970126
1566196	-424	1	5	10	"Tebetu"	30	1566193.8054128876	2.194587112404406
1566226	-424	2	4	11	"Shabatu"	30	1566223.5630946804	2.4369053195696324
1566255	-424	3	4	12	"Addaru"	29	1566253.217679833	1.7823201669380069
1566285	-424	4	3	1	"Nisanu"	30	1566282.754982674	2.2450173259712756
1566314	-424	5	2	2	"Aiaru"	29	1566312.1820091568	1.817990843206644
1566344	-424	6	1	3	"Simanu"	30	1566341.522375431	2.4776245690882206
1566373	-424	6	30	4	"Duzu"	29	1566370.813800834	2.1861991661135107
1566402	-424	7	29	5	"Abu"	29	1566400.1037149492	1.8962850507814437
1566432	-424	8	28	6	"Ululu"	30	1566429.4417537914	2.5582462085876614
1566461	-424	9	26	7	"Tashritu"	29	1566458.8693875873	2.1306124127004296
1566491	-424	10	26	8	"Arahsamnu"	30	1566488.4085873635	2.591412636451423
1566520	-424	11	24	9	"Kislimu"	29	1566518.0552824528	1.9447175471577793
1566550	-424	12	24	10	"Tebetu"	30	1566547.7828038582	2.217196141835302
1566580	-423	1	23	11	"Shabatu"	30	1566577.5504475709	2.4495524291414768
1566609	-423	2	21	12	"Addaru"	29	1566607.308680744	1.6913192560896277
1566639	-423	3	23	13	"Addaru₂"	30	1566637.0050746538	1.9949253462255
1566669	-423	4	22	1	"Nisanu"	30	1566666.5991200593	2.4008799407165498
1566698	-423	5	21	2	"Aiaru"	29	1566696.0788356515	1.9211643484886736
1566728	-423	6	20	3	"Simanu"	30	1566725.4648199645	2.5351800355128944
1566757	-423	7	19	4	"Duzu"	29	1566754.79973925	2.20026075001806
1566786	-423	8	17	5	"Abu"	29	1566784.1318912324	1.8681087675504386
1566816	-423	9	16	6	"Ululu"	30	1566813.5005463334	2.4994536666199565
1566845	-423	10	15	7	"Tashritu"	29	1566842.927933355	2.072066644905135
1566875	-423	11	14	8	"Arahsamnu"	30	1566872.4214787104	2.5785212896298617
1566904	-423	12	13	9	"Kislimu"	29	1566901.9834590713	2.0165409287437797
1566934	-422	1	12	10	"Tebetu"	30	1566931.6152767998	2.384723200229928
1566963	-422	2	10	11	"Shabatu"	29	1566961.307371975	1.6926280250772834
1566993	-422	3	12	12	"Addaru"	30	1566991.02613731	1.9738626899197698
1567023	-422	4	11	1	"Nisanu"	30	1567020.719568974	2.2804310258943588
1567053	-422	5	11	2	"Aiaru"	30	1567050.3430144568	2.656985543202609
1567082	-422	6	9	3	"Simanu"	29	1567079.8808638053	2.1191361946985126
1567112	-422	7	9	4	"Duzu"	30	1567109.3470563751	2.6529436248820275
1567141	-422	8	7	5	"Abu"	29	1567138.7705445238	2.2294554761610925
1567170	-422	9	5	6	"Ululu"	29	1567168.1794150262	1.8205849737860262
1567200	-422	10	5	7	"Tashritu"	30	1567197.5924188795	2.4075811204966158
1567229	-422	11	3	8	"Arahsamnu"	29	1567227.0205163546	1.9794836454093456
1567259	-422	12	3	9	"Kislimu"	30	1567256.4743006765	2.5256993235088885
1567288	-421	1	1	10	"Tebetu"	29	1567285.968100776	2.031899224035442
1567318	-421	1	31	11	"Shabatu"	30	1567315.5143086216	2.4856913783587515
1567347	-421	3	1	12	"Addaru"	29	1567345.1121211452	1.8878788547590375
1567377	-421	3	31	1	"Nisanu"	30	1567374.7435129667	2.256487033329904
1567407	-421	4	30	2	"Aiaru"	30	1567404.382567493	2.617432506987825
1567436	-421	5	29	3	"Simanu"	29	1567434.008349887	1.9916501129046082
1567466	-421	6	28	4	"Duzu"	30	1567463.609337188	2.39066281192936
1567496	-421	7	28	5	"Abu"	30	1567493.179308378	2.8206916220951825
1567525	-421	8	26	6	"Ululu"	29	1567522.7131463771	2.2868536228779703
1567554	-421	9	24	7	"Tashritu"	29	1567552.2085736054	1.7914263946004212
1567584	-421	10	24	8	"Arahsamnu"	30	1567581.6713167273	2.3286832727026194
1567613	-421	11	22	9	"Kislimu"	29	1567611.1159055587	1.8840944413095713
1567642	-421	12	21	10	"Tebetu"	29	1567640.5592563865	1.4407436135224998
1567672	-420	1	20	11	"Shabatu"	30	1567670.013005119	1.9869948809500784
1567701	-420	2	18	12	"Addaru"	29	1567699.4819904938	1.5180095061659813
1567731	-420	3	19	13	"Addaru₂"	30	1567728.9699644868	2.030035513220355
1567761	-420	4	18	1	"Nisanu"	30	1567758.486033666	2.513966334052384
1567790	-420	5	17	2	"Aiaru"	29	1567788.043755909	1.9562440910376608
1567820	-420	6	16	3	"Simanu"	30	1567817.651383424	2.348616576055065
1567849	-420	7	15	4	"Duzu"	29	1567847.2999486374	1.7000513626262546
1567879	-420	8	14	5	"Abu"	30	1567876.9601893954	2.0398106046486646
1567908	-420	9	12	6	"Ululu"	29	1567906.5953125604	1.404687439557165
1567938	-420	10	12	7	"Tashritu"	30	1567936.1814677308	1.8185322692152113
1567967	-420	11	10	8	"Arahsamnu"	29	1567965.716704384	1.283295616041869
1567997	-420	12	10	9	"Kislimu"	30	1567995.210793165	1.78920683497563
1568026	-419	1	8	10	"Tebetu"	29	1568024.6697460145	1.3302539854776114
1568055	-419	2	6	11	"Shabatu"	29	1568054.0931756066	0.9068243934307247
1568085	-419	3	8	12	"Addaru"	30	1568083.486060786	1.513939213939011
1568115	-419	4	7	1	"Nisanu"	30	1568112.8700744705	2.12992552947253
1568144	-419	5	6	2	"Aiaru"	29	1568142.28221669	1.7177833099849522
1568174	-419	6	5	3	"Simanu"	30	1568171.761494225	2.2385057751089334
1568203	-419	7	4	4	"Duzu"	29	1568201.3311577698	1.668842230224982
1568233	-419	8	3	5	"Abu"	30	1568230.9857331868	2.01426681317389
1568263	-419	9	2	6	"Ululu"	30	1568260.692379836	2.3076201640069485
1568292	-419	10	1	7	"Tashritu"	29	1568290.4075931138	1.592406886164099
1568322	-419	10	31	8	"Arahsamnu"	30	1568320.0949525752	1.9050474248360842
1568351	-419	11	29	9	"Kislimu"	29	1568349.7292306814	1.2707693185657263
1568381	-419	12	29	10	"Tebetu"	30	1568379.2910817263	1.7089182736817747
1568410	-418	1	27	11	"Shabatu"	29	1568408.7675482815	1.2324517185334116
1568439	-418	2	25	12	"Addaru"	29	1568438.1611484955	0.8388515044935048
1568469	-418	3	27	1	"Nisanu"	30	1568467.4957435292	1.5042564708273858
1568499	-418	4	26	2	"Aiaru"	30	1568496.8120797486	2.1879202513955534
1568528	-418	5	25	3	"Simanu"	29	1568526.156849597	1.8431504028849304
1568558	-418	6	24	4	"Duzu"	30	1568555.5711357296	2.4288642704486847
1568587	-418	7	23	5	"Abu"	29	1568585.081699958	1.9183000419288874
1568617	-418	8	22	6	"Ululu"	30	1568614.6969057787	2.303094221279025
1568647	-418	9	21	7	"Tashritu"	30	1568644.4061532072	2.593846792820841
1568676	-418	10	20	8	"Arahsamnu"	29	1568674.1787283085	1.8212716914713383
1568706	-418	11	19	9	"Kislimu"	30	1568703.9622352351	2.037764764856547
1568735	-418	12	18	10	"Tebetu"	29	1568733.6911017708	1.3088982291519642
1568764	-417	1	16	11	"Shabatu"	29	1568763.311545613	0.6884543870110065
1568794	-417	2	15	12	"Addaru"	30	1568792.8054395108	1.1945604891516268
1568823	-417	3	16	13	"Addaru₂"	29	1568822.1916040198	0.8083959801588207
1568853	-417	4	15	1	"Nisanu"	30	1568851.5093980606	1.4906019393820316
1568882	-417	5	14	2	"Aiaru"	29	1568880.8023314048	1.19766859523952
1568912	-417	6	13	3	"Simanu"	30	1568910.1101195894	1.8898804106283933
1568942	-417	7	13	4	"Duzu"	30	1568939.4682331113	2.5317668886855245
1568971	-417	8	11	5	"Abu"	29	1568968.9103439	2.0896560999099165
1569001	-417	9	10	6	"Ululu"	30	1568998.466993981	2.533006018958986
1569031	-417	10	10	7	"Tashritu"	30	1569028.1536961645	2.8463038355112076
1569060	-417	11	8	8	"Arahsamnu"	29	1569057.9493576242	2.050642375834286
1569090	-417	12	8	9	"Kislimu"	30	1569087.7848167487	2.215183251304552
1569120	-416	1	7	10	"Tebetu"	30	1569117.568186888	2.4318131119944155
1569149	-416	2	5	11	"Shabatu"	29	1569147.2338080173	1.7661919826641679
1569179	-416	3	6	12	"Addaru"	30	1569176.7660086364	2.2339913635514677
1569208	-416	4	4	1	"Nisanu"	29	1569206.1853485806	1.8146514194086194
1569237	-416	5	3	2	"Aiaru"	29	1569235.5254933038	1.4745066962204874
1569267	-416	6	2	3	"Simanu"	30	1569264.8211745452	2.17882545478642
1569296	-416	7	1	4	"Duzu"	29	1569294.1078009028	1.8921990972012281
1569326	-416	7	31	5	"Abu"	30	1569323.4252947483	2.5747052517253906
1569355	-416	8	29	6	"Ululu"	29	1569352.8187533044	2.181246695574373
1569385	-416	9	28	7	"Tashritu"	30	1569382.3303918387	2.669608161319047
1569415	-416	10	28	8	"Arahsamnu"	30	1569411.9807123262	3.01928767375648
1569444	-416	11	26	9	"Kislimu"	29	1569441.7475437932	2.252456206828356
1569474	-416	12	26	10	"Tebetu"	30	1569471.5654186304	2.434581369627267
1569504	-415	1	25	11	"Shabatu"	30	1569501.355614824	2.6443851760122925
1569533	-415	2	23	12	"Addaru"	29	1569531.060230537	1.9397694629151374
1569563	-415	3	25	13	"Addaru₂"	30	1569560.6526890423	2.347310957731679
1569592	-415	4	23	1	"Nisanu"	29	1569590.131109156	1.8688908440526575
1569621	-415	5	22	2	"Aiaru"	29	1569619.5115146793	1.4884853207040578
1569651	-415	6	21	3	"Simanu"	30	1569648.8249112773	2.1750887227244675
1569680	-415	7	20	4	"Duzu"	29	1569678.1142370736	1.8857629264239222
1569709	-415	8	18	5	"Abu"	29	1569707.4284257903	1.5715742097236216
1569739	-415	9	17	6	"Ululu"	30	1569736.8132425668	2.1867574332281947
1569769	-415	10	17	7	"Tashritu"	30	1569766.2999059702	2.7000940297730267
1569798	-415	11	15	8	"Arahsamnu"	29	1569795.8956834346	2.1043165654409677
1569828	-415	12	15	9	"Kislimu"	30	1569825.583223514	2.416776485973969
1569858	-414	1	14	10	"Tebetu"	30	1569855.3286613738	2.6713386261835694
1569887	-414	2	12	11	"Shabatu"	29	1569885.0888072273	1.9111927726771683
1569917	-414	3	14	12	"Addaru"	30	1569914.8143926472	2.185607352759689
1569947	-414	4	13	1	"Nisanu"	30	1569944.4588772212	2.5411227787844837
1569976	-414	5	12	2	"Aiaru"	29	1569973.9951921897	2.0048078102990985
1570005	-414	6	10	3	"Simanu"	29	1570003.4275721575	1.5724278425332159
1570035	-414	7	10	4	"Duzu"	30	1570032.7884750895	2.21152491052635
1570064	-414	8	8	5	"Abu"	29	1570062.1244305521	1.8755694478750229
1570094	-414	9	7	6	"Ululu"	30	1570091.479598523	2.5204014771152288
1570123	-414	10	6	7	"Tashritu"	29	1570120.8834380137	2.1165619862731546
1570153	-414	11	5	8	"Arahsamnu"	30	1570150.3476412767	2.6523587233386934
1570182	-414	12	4	9	"Kislimu"	29	1570179.8739971202	2.1260028798133135
1570212	-413	1	3	10	"Tebetu"	30	1570209.4642114048	2.535788595210761
1570241	-413	2	1	11	"Shabatu"	29	1570239.1174799309	1.882520069135353
1570271	-413	3	3	12	"Addaru"	30	1570268.8161251873	2.18387481267564
1570301	-413	4	2	1	"Nisanu"	30	1570298.5189153752	2.4810846247710288
1570330	-413	5	1	2	"Aiaru"	29	1570328.176848642	1.8231513579376042
1570359	-413	5	30	3	"Simanu"	29	1570357.758963238	1.2410367620177567
1570389	-413	6	29	4	"Duzu"	30	1570387.2644640196	1.7355359804350883
1570418	-413	7	28	5	"Abu"	29	1570416.715172691	1.2848273089621216
1570448	-413	8	27	6	"Ululu"	30	1570446.1394104962	1.860589503776282
1570477	-413	9	25	7	"Tashritu"	29	1570475.5590597836	1.440940216416493
1570507	-413	10	25	8	"Arahsamnu"	30	1570504.9861123392	2.013887660810724
1570536	-413	11	23	9	"Kislimu"	29	1570534.4284793618	1.5715206381864846
1570566	-413	12	23	10	"Tebetu"	30	1570563.8975554963	2.102444503689185
1570595	-412	1	21	11	"Shabatu"	29	1570593.4081284658	1.5918715342413634
1570625	-412	2	20	12	"Addaru"	30	1570622.9688955103	2.031104489695281
1570654	-412	3	20	13	"Addaru₂"	29	1570652.5731476364	1.426852363627404
1570684	-412	4	19	1	"Nisanu"	30	1570682.200819374	1.799180625937879
1570713	-412	5	18	2	"Aiaru"	29	1570711.8300656257	1.169934374280274
1570743	-412	6	17	3	"Simanu"	30	1570741.4459202942	1.55407970584929
1570773	-412	7	17	4	"Duzu"	30	1570771.0396213592	1.9603786407969892
1570802	-412	8	15	5	"Abu"	29	1570800.6036890268	1.3963109732139856
1570832	-412	9	14	6	"Ululu"	30	1570830.1309780763	1.8690219237469137
1570861	-412	10	13	7	"Tashritu"	29	1570859.6197698654	1.3802301345858723
1570891	-412	11	12	8	"Arahsamnu"	30	1570889.0783667462	1.9216332538053393
1570920	-412	12	11	9	"Kislimu"	29	1570918.5222519324	1.4777480675838888
1570950	-411	1	10	10	"Tebetu"	30	1570947.9660260591	2.033973940880969
1570979	-411	2	8	11	"Shabatu"	29	1570977.4183382434	1.5816617566160858
1571009	-411	3	10	12	"Addaru"	30	1571006.884368979	2.115631021093577
1571038	-411	4	8	1	"Nisanu"	29	1571036.3725957372	1.627404262777418
1571068	-411	5	8	2	"Aiaru"	30	1571065.8977521067	2.102247893344611
1571097	-411	6	6	3	"Simanu"	29	1571095.474762497	1.5252375029958785
1571127	-411	7	6	4	"Duzu"	30	1571125.1062156495	1.893784350482747
1571157	-411	8	5	5	"Abu"	30	1571154.772616666	2.2273833339568228
1571186	-411	9	3	6	"Ululu"	29	1571184.4364715205	1.5635284795425832
1571216	-411	10	3	7	"Tashritu"	30	1571214.0616812822	1.9383187177591026
1571245	-411	11	1	8	"Arahsamnu"	29	1571243.6320767433	1.367923256708309
1571275	-411	12	1	9	"Kislimu"	30	1571273.1513493243	1.8486506757326424
1571304	-411	12	30	10	"Tebetu"	29	1571302.6278948532	1.3721051467582583
1571334	-410	1	29	11	"Shabatu"	30	1571332.0642091408	1.9357908591628075
1571363	-410	2	27	12	"Addaru"	29	1571361.4623214237	1.5376785763073713
1571393	-410	3	29	1	"Nisanu"	30	1571390.8367863467	2.1632136532571167
1571422	-410	4	27	2	"Aiaru"	29	1571420.2197978923	1.7802021077368408
1571452	-410	5	27	3	"Simanu"	30	1571449.6532037412	2.346796258818358
1571481	-410	6	25	4	"Duzu"	29	1571479.1721637729	1.8278362271375954
1571511	-410	7	25	5	"Abu"	30	1571508.7881181499	2.21188185014762
1571541	-410	8	24	6	"Ululu"	30	1571538.480896308	2.5191036919131875
1571570	-410	9	22	7	"Tashritu"	29	1571568.2078845776	1.7921154224313796
1571600	-410	10	22	8	"Arahsamnu"	30	1571597.9242906538	2.075709346216172
1571629	-410	11	20	9	"Kislimu"	29	1571627.5963902965	1.4036097035277635
1571659	-410	12	20	10	"Tebetu"	30	1571657.2003588756	1.7996411244384944
1571688	-409	1	18	11	"Shabatu"	29	1571686.7189233785	1.28107662149705
1571718	-409	2	17	12	"Addaru"	30	1571716.1469099189	1.8530900811310858
